,date,Location,Type,ID,Bread,Peanut Butter (Jif),Cheese,Eggs,Milk,Turkey,Celery,Carrots,Fresh Tomato,Orange,Apples,Frozen Chicken,Frozen Beef,Frozen Peas,Olive Oil,Rice,Black Beans,Corn,Peanut Butter (Great Value),Can Tomatoes
0,20230116,49548,PRICE,2.02301E+12,$1.88 ,$2.76 ,$3.68 ,$7.07 ,$2.78 ,$6.72 ,$1.74 ,$0.98 ,$0.44 ,$0.88 ,$5.98 ,$9.74 ,$10.82 ,$2.28 ,$5.50 ,$1.62 ,$0.78 ,$0.58 ,$1.84 ,$0.88 
0,20230123,49548,PRICE,2.02301E+12,$1.88 ,$2.76 ,$3.68 ,$7.07 ,$2.78 ,$6.72 ,$1.74 ,$0.98 ,$0.44 ,$0.88 ,$5.98 ,$9.74 ,$11.82 ,$2.28 ,$5.50 ,$1.62 ,$0.78 ,$0.58 ,$1.84 ,$0.88 
0,20230206,49548,PRICE,2.02302E+12,$1.88 ,$2.76 ,$3.68 ,$6.07 ,$2.78 ,$6.72 ,$1.74 ,$0.98 ,$0.44 ,$0.88 ,$5.98 ,$9.74 ,$11.82 ,$2.28 ,$5.50 ,$1.62 ,$0.78 ,$0.58 ,$1.84 ,$0.88 
0,20230213,49548,PRICE,2.02302E+12,$1.88 ,$2.76 ,$3.68 ,$4.46 ,$2.78 ,$6.72 ,$1.74 ,$0.98 ,$0.44 ,$0.88 ,$5.98 ,$9.74 ,$11.82 ,$2.28 ,$5.50 ,$1.62 ,$0.78 ,$0.58 ,$1.84 ,$0.88 
0,20230220,49548,PRICE,2.02302E+12,$1.88 ,$2.76 ,$3.68 ,$4.46 ,$2.78 ,$6.72 ,$1.74 ,$0.98 ,$0.44 ,$0.88 ,$5.98 ,$9.74 ,$11.82 ,$2.28 ,$5.50 ,$1.62 ,$0.78 ,$0.50 ,$1.84 ,$0.88 
0,20230227,49548,PRICE,2.02302E+12,$1.88 ,$2.76 ,$3.68 ,$3.37 ,$2.78 ,$6.72 ,$1.74 ,$0.98 ,$0.44 ,$0.88 ,$5.98 ,$9.74 ,$11.82 ,$2.28 ,$5.50 ,$1.62 ,$0.78 ,$0.50 ,$1.84 ,$0.88 
0,20230306,49548,PRICE,2.02303E+12,$1.88 ,$2.76 ,$3.68 ,$3.37 ,$2.78 ,$6.72 ,$1.74 ,$0.98 ,$0.29 ,$0.88 ,$5.98 ,$9.74 ,$11.82 ,$2.28 ,$5.50 ,$1.62 ,$0.78 ,$0.50 ,$1.84 ,$0.88 
0,20230307,49548,PRICE,2.02303E+12,$1.88 ,$2.76 ,$3.68 ,$3.37 ,$2.78 ,$6.72 ,$1.74 ,$0.98 ,$0.29 ,$0.88 ,$5.98 ,$9.74 ,$11.82 ,$2.28 ,$5.50 ,$1.62 ,$0.78 ,$0.50 ,$1.84 ,$0.88 
0,20230313,49548,PRICE,2.02303E+12,$1.88 ,$2.76 ,$3.68 ,$3.27 ,$2.66 ,$6.72 ,$1.84 ,$0.98 ,$0.29 ,$0.88 ,$5.98 ,$9.74 ,$11.82 ,$2.28 ,$5.50 ,$1.62 ,$0.78 ,$0.50 ,$1.84 ,$0.88 
0,20230320,49548,PRICE,2.02303E+12,$1.88 ,$2.76 ,$3.68 ,$3.88 ,$2.66 ,$6.72 ,$1.84 ,$0.98 ,$0.29 ,$0.88 ,$5.98 ,$9.74 ,$11.82 ,$2.28 ,$5.50 ,$1.62 ,$0.78 ,$0.50 ,$1.84 ,$0.88 
0,20230327,49548,PRICE,2.02303E+12,$1.88 ,$2.76 ,$3.68 ,$3.28 ,$2.66 ,$6.72 ,$1.84 ,$0.98 ,$0.29 ,$0.88 ,$5.98 ,$9.74 ,$11.82 ,$2.28 ,$5.50 ,$1.62 ,$0.78 ,$0.50 ,$1.84 ,$0.88 
0,20230403,49548,PRICE,2.02304E+12,$1.88 ,$2.76 ,$3.68 ,$3.28 ,$2.66 ,$6.72 ,$1.84 ,$0.98 ,$0.29 ,$0.88 ,$5.98 ,$9.74 ,$11.82 ,$2.28 ,$5.50 ,$1.62 ,$0.78 ,$0.50 ,$1.84 ,$0.88 
0,20230410,49548,PRICE,2.02304E+12,$1.88 ,$2.76 ,$3.68 ,$3.34 ,$2.66 ,$6.72 ,$1.84 ,$0.98 ,$0.29 ,$0.88 ,$5.98 ,$9.74 ,$11.82 ,$2.28 ,$5.50 ,$1.62 ,$0.78 ,$0.50 ,$1.84 ,$0.88 
