,date,Location,Type,ID,Bread,Peanut Butter (Jif),Cheese,Eggs,Milk,Turkey,Celery,Carrots,Fresh Tomato,Orange,Apples,Frozen Chicken,Frozen Beef,Frozen Peas,Olive Oil,Rice,Black Beans,Corn,Peanut Butter (Great Value),Can Tomatoes
0,20230123,33607,STOCK,2.02301E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES
0,20230130,33607,STOCK,2.02301E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES
0,20230206,33607,STOCK,2.02302E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES
0,20230213,33607,STOCK,2.02302E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
0,20230220,33607,STOCK,2.02302E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
0,20230227,33607,STOCK,2.02302E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
0,20230306,33607,STOCK,2.02303E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
0,20230307,33607,STOCK,2.02303E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
0,20230313,33607,STOCK,2.02303E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
0,20230320,33607,STOCK,2.02303E+12,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES
0,20230327,33607,STOCK,2.02303E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
0,20230403,33607,STOCK,2.02304E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
0,20230410,33607,STOCK,2.02304E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,item not found,YES,NO,YES,YES,YES,YES,YES,YES
0,20230417,33607,STOCK,2.02304E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
0,20230424,33607,STOCK,2.02304E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
0,20230501,33607,STOCK,2.02305E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
0,20230508,33607,STOCK,2.02305E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
0,20230515,33607,STOCK,2.02305E+12,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
0,20230522,33607,STOCK,2.02305E+12,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
0,20230530,33607,STOCK,2023053033607,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
